player,cfg3_per_g,cfg3a_per_g,cfg3,cfg3a,cfg3_pct,cft,cfta,cft_pct,cts_pct,cefg_pct,cfg3a_per_fga_pct,cusg_pct,fg3,fg3a,fg3_pct
Brice Johnson,0.0,0.0,0,0,,288,407,.708,.598,.575,.000,24.8,0,1,.000
Damian Jones,0.0,0.1,1,8,,296,524,.565,.573,.567,.009,26.6,2,9,.222
Derrick Jones,0.3,1.3,8,39,.205,79,133,.594,.611,.607,.178,23.2,71,252,.282
Skal Labissière,0.0,0.1,0,2,.000,41,62,.661,.540,.516,.011,22.1,30,85,.353
Jake Layman,1.4,3.9,198,547,.362,274,361,.759,.572,.536,.505,19.3,100,324,.309
Caris LeVert,1.3,3.2,134,334,.401,204,265,.770,.552,.514,.396,22.8,272,803,.339
Shawn Long,0.8,2.4,112,328,.341,488,722,.676,.564,.535,.189,28.4,7,19,.368
Sheldon Mac,1.3,3.7,178,523,.340,517,632,.818,.580,.519,.376,23.2,7,30,.233
Patrick McCaw,1.9,5.2,125,341,.367,122,162,.753,.567,.539,.548,20.0,92,302,.305
Rodney McGruder,1.4,3.7,188,494,.381,252,332,.759,.557,.527,.393,21.3,191,569,.336
Dejounte Murray,1.0,3.5,34,118,.288,110,166,.663,.485,.451,.243,25.9,59,168,.351
Jamal Murray,3.1,7.7,113,277,.408,119,152,.783,.590,.559,.515,27.1,544,1518,.358
Maurice Ndour,0.7,1.8,45,116,.388,240,317,.757,.578,.530,.167,25.4,1,7,.143
Georges Niang,1.4,3.6,188,502,.375,342,448,.763,.583,.556,.296,26.9,134,346,.387
David Nwaba,0.0,0.3,4,24,,297,457,.650,.521,.476,.030,26.9,55,160,.344
Daniel Ochefu,0.0,0.0,0,4,,207,333,.622,.611,.600,.006,17.9,0,0,
Chinanu Onuaku,0.0,0.0,0,1,,47,86,.547,.614,.619,.003,16.1,0,0,
Gary Payton,0.8,2.6,49,162,.302,144,221,.652,.538,.518,.214,23.8,21,82,.256
Marshall Plumlee,0.0,0.0,1,1,,116,209,.555,.643,.667,.004,11.4,0,0,
Jakob Poeltl,0.0,0.0,0,1,,219,362,.605,.653,.658,.002,23.8,1,2,.500
Alex Poythress,0.3,0.9,29,96,.302,225,328,.686,.602,.574,.149,19.3,19,53,.358
Tim Quarterman,1.0,3.2,98,316,.310,190,288,.660,.506,.469,.463,19.4,5,15,.333
Chasson Randle,2.1,5.5,304,787,.386,551,684,.806,.566,.514,.443,25.9,62,164,.378
Malachi Richardson,2.1,6.1,79,224,.353,113,157,.720,.510,.465,.544,23.1,28,93,.301
Domantas Sabonis,0.1,0.2,5,14,,229,314,.729,.662,.636,.023,23.9,90,280,.321
Wayne Selden,1.5,4.1,162,443,.366,196,310,.632,.538,.519,.457,20.7,111,324,.343
Pascal Siakam,0.0,0.3,3,17,.176,241,339,.711,.586,.553,.021,25.4,240,718,.334
Diamond Stone,0.0,0.0,0,0,,102,134,.761,.610,.568,.000,26.7,0,0,
Isaiah Taylor,0.4,1.3,35,119,.294,395,499,.792,.499,.421,.117,26.1,20,82,.244
Mike Tobey,0.0,0.1,6,19,.316,143,203,.704,.559,.535,.025,24.2,0,0,
Tyler Ulis,1.2,3.3,88,237,.371,209,247,.846,.563,.499,.390,19.3,63,225,.280
Jarrod Uthoff,1.4,3.6,137,358,.383,245,308,.795,.557,.517,.352,24.0,6,18,.333
Denzel Valentine,1.8,4.5,265,650,.408,222,285,.779,.569,.544,.497,22.0,262,715,.366
Fred VanVleet,1.0,2.6,141,365,.386,372,462,.805,.551,.491,.336,21.1,377,960,.393
Taurean Waller-Prince,1.0,2.7,130,346,.376,255,355,.718,.557,.524,.340,27.3,478,1305,.366
Okaro White,0.5,1.5,69,211,.327,401,502,.799,.593,.530,.224,21.0,16,47,.340
Isaiah Whitehead,2.1,5.8,117,326,.359,196,259,.757,.500,.452,.429,30.8,51,167,.305
Troy Williams,0.4,1.2,38,117,.325,253,359,.705,.581,.546,.148,23.7,43,144,.299
Kyle Wiltjer,1.7,4.0,248,583,.425,281,341,.824,.605,.574,.411,26.0,4,13,.308
Stephen Zimmerman,0.2,0.7,5,17,.294,63,101,.624,.519,.488,.079,21.9,0,0,
Bam Adebayo,0.0,0.0,0,0,,154,236,.653,.624,.599,.000,18.5,5,36,.139
Jarrett Allen,0.0,0.2,0,7,.000,84,149,.564,.571,.566,.022,22.6,11,66,.167
Kadeem Allen,0.7,1.8,50,125,.400,153,211,.725,.560,.514,.277,18.5,22,63,.349
Ike Anigbogu,0.0,0.0,0,0,,23,43,.535,.564,.564,.000,18.4,0,0,
OG Anunoby,0.5,1.5,27,74,.365,47,90,.522,.609,.620,.311,19.0,229,627,.365
Ryan Arcidiacono,1.8,5.1,261,729,.358,369,461,.800,.554,.503,.594,19.2,144,386,.373
Jamel Artis,1.3,3.3,170,450,.378,368,485,.759,.580,.539,.366,24.2,8,29,.276
Dwayne Bacon,1.3,4.1,89,285,.312,214,292,.733,.533,.497,.306,29.1,68,197,.345
Lonzo Ball,2.2,5.4,80,194,.412,66,98,.673,.673,.668,.566,18.1,313,918,.341
Jordan Bell,0.0,0.2,3,16,,121,192,.630,.619,.612,.028,15.9,4,18,.222
Khem Birch,0.0,0.0,0,0,,195,292,.668,.576,.531,.000,17.6,0,2,.000
Jabari Bird,1.6,4.4,187,504,.371,140,186,.753,.555,.534,.495,21.3,3,7,.429
Antonio Blakeney,1.6,4.7,105,303,.347,181,246,.736,.549,.514,.406,22.2,51,143,.357
Chris Boucher,1.1,3.2,75,218,.344,150,234,.641,.611,.598,.387,21.9,50,156,.321
Tony Bradley,0.0,0.0,0,0,,65,105,.619,.590,.573,.000,20.7,3,4,.750
Dillon Brooks,1.2,3.4,133,367,.362,305,384,.794,.565,.526,.295,26.4,256,715,.358
Sterling Brown,0.9,2.1,128,284,.451,194,252,.770,.616,.586,.363,16.7,129,374,.345
Thomas Bryant,0.4,1.1,28,75,.373,204,284,.718,.648,.619,.146,22.2,71,200,.355
Alex Caruso,0.7,2.0,91,268,.340,235,343,.685,.543,.509,.319,18.1,77,213,.362
